Date;Point_max;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Production totale (MW);temp;humidite;nebulosite;rafale_periode;vitesse_vent;pluie_3h;pluie_6h;pluie_12h;pluie_24h;year;week
2016-11-13;2016-11-08T19:00:00+01:00;77059;14514;42318;2240;-1;11944;-7;1085;4963;72093;5.701617036376593;79.96780499173907;85.61644515390618;6.002439109396631;3.276526043923755;2.853846153846154;4.461538461538462;9.115384615384615;24.253846153846155;2016;45
2016-11-20;2016-11-14T19:00:00+01:00;74096;12674;42632;1132;-1;11053;-7;1050;5567;68533;7.488704724762438;85.392717859064;89.9509284785727;4.692250762058454;2.5643277075488617;1.7538461538461538;3.853846153846154;9.015384615384615;24.284615384615385;2016;46
2016-11-27;2016-11-22T19:00:00+01:00;70477;10591;45163;1855;0;10744;-7;1057;1076;69403;10.550616987179513;84.74336334961335;87.17134081196582;7.174499007936508;3.9931829975579975;23.176923076923078;42.36923076923077;90.0;185.37692307692308;2016;47
2016-12-04;2016-11-29T19:00:00+01:00;81918;11820;49498;2813;-1;14015;-7;1165;2614;79303;3.2222164694280306;69.6261746266554;58.33195530431107;6.94692254860524;4.087528353057199;0.2692307692307692;0.5769230769230769;1.223076923076923;1.7076923076923076;2016;48
2016-12-11;2016-12-08T08:00:00+01:00;78731;11024;50556;3383;-1;7218;-8;1106;5455;73278;6.095460164835187;81.07129120879121;73.80590659340659;4.758550824175824;2.656662087912088;0.1;0.16153846153846155;0.2692307692307692;0.5692307692307692;2016;49
2016-12-18;2016-12-12T19:00:00+01:00;78012;11355;47332;1884;-1;12172;-46;1059;4259;73755;6.733605769230793;88.13468406593407;90.56706730769231;4.8202129120879125;2.6808035714285716;1.0769230769230769;2.223076923076923;3.9230769230769225;8.061538461538461;2016;50
2016-12-25;2016-12-19T19:00:00+01:00;80995;11898;48987;2016;-1;11439;-8;1080;5587;75411;4.116256868131891;88.9154532967033;93.63811813186814;5.530721153846154;3.093502747252747;6.538461538461538;10.13846153846154;13.00769230769231;13.46923076923077;2016;51
2017-01-01;2016-12-30T19:00:00+01:00;79712;10558;52594;123;-1;11920;-7;1090;3434;76277;0.6418027965624321;89.97712912087913;82.938991617357;2.8393860946745564;1.4702067483798253;0.06153846153846154;0.13076923076923078;0.2538461538461539;0.7230769230769231;2016;52
2017-01-08;2016-01-03T19:00:00+01:00;65289;2296;55067;6555;-1;9384;-12;1019;-9016;74308;7.6633241758242;84.15714285714286;88.44333791208791;9.148688186813187;5.080370879120879;26.484615384615385;45.66923076923077;78.4923076923077;139.57692307692307;2016;53
2017-01-08;2017-01-06T09:30:00+01:00;89510;13617;53941;1583;495;11133;-5;1102;7644;81866;-0.3602609890109664;73.68619505494506;70.87798763736264;4.912548076923077;2.7547664835164833;0.03076923076923077;0.05384615384615384;0.13846153846153847;0.6230769230769231;2017;1
2017-01-15;2017-01-09T19:00:00+01:00;83377;11490;55213;4717;-1;10389;-4;1100;476;82904;5.039495192307715;88.77039835164835;87.80291895604395;5.342232142857143;2.981256868131868;2.9923076923076923;5.061538461538461;7.200000000000001;10.946153846153846;2017;2
2017-01-22;2017-01-20T09:00:00+01:00;94236;15540;55819;3058;178;13762;-5;1150;4732;89502;-0.9058905677655441;73.31943681318681;67.93721382783883;4.871128663003663;2.8282600732600733;1.5538461538461539;2.8692307692307697;4.3;4.1692307692307695;2017;3
2017-01-29;2017-01-25T19:00:00+01:00;93523;16274;56497;1553;-1;12058;-5;1090;6055;87466;-0.10972756410254014;79.99761904761905;90.34473443223443;5.427518315018315;3.0613919413919413;0.5692307692307692;1.2692307692307692;2.0;1.1;2017;4
2017-02-05;2017-01-30T19:00:00+01:00;77569;11398;56450;1983;-1;7344;-300;1161;-467;78035;8.279684003444883;89.78426107081503;93.64706536484609;6.0003728617329735;3.451451050500368;10.330769230769231;21.315384615384616;37.06923076923077;64.61538461538461;2017;5
2017-02-12;2017-02-09T19:00:00+01:00;81716;10379;53002;2082;-1;13570;-29;1082;1634;80085;4.355424063116394;81.45018667230205;91.31061830797407;5.768943012116089;3.295017258382643;6.1923076923076925;13.392307692307693;33.01538461538461;69.64615384615385;2017;6
2017-02-19;2017-02-13T19:00:00+01:00;75251;10231;49281;7322;-1;12102;-28;1063;-4717;79970;9.089793956043978;69.94457417582417;86.40779532967032;10.615;6.176847527472527;1.8692307692307693;2.730769230769231;4.2384615384615385;12.761538461538462;2017;7
2017-02-26;2017-02-20T19:00:00+01:00;71186;10657;48376;4574;-1;10313;-20;1112;-3824;75011;8.70173076923079;83.51751373626374;87.89323489010988;5.770054945054945;3.310535714285714;0.33076923076923076;0.8615384615384615;1.6076923076923075;2.5846153846153848;2017;8
2017-03-05;2017-02-28T19:30:00+01:00;75290;9487;48276;8249;-1;12794;-11;1076;-4578;79870;7.2287912087912325;78.43385989010989;89.3487293956044;12.428076923076922;6.438543956043956;21.792307692307695;44.75384615384615;89.45384615384614;168.0153846153846;2017;9
2017-03-12;2017-03-07T19:30:00+01:00;74623;9669;48175;1005;-1;14255;-4;1080;446;74179;7.903310439560461;75.73509615384616;87.73715659340658;8.544515796703296;4.619347527472527;8.476923076923077;16.26153846153846;30.607692307692307;93.16153846153846;2017;10
2017-03-19;2017-03-14T08:30:00+01:00;65612;7471;45809;1081;843;11271;-4;1027;-1887;67498;9.690233516483541;76.27362637362637;79.59069368131867;5.041456043956044;2.7449244505494503;0.06923076923076923;0.12307692307692308;0.3230769230769231;2.1;2017;11
2017-03-26;2017-03-23T19:30:00+01:00;67433;9357;44690;2246;-1;14865;-4;1033;-4753;72186;8.711229395604416;81.71085164835164;92.19402472527473;6.342005494505495;3.3913942307692304;20.307692307692307;38.69230769230769;70.76923076923077;112.65384615384616;2017;12
2017-04-02;2017-03-27T09:00:00+02:00;61774;8130;46268;3075;805;11122;-4;1021;-8641;70417;11.747010467980317;66.15133810155362;71.66420163887837;5.807346295945434;3.1403962201591513;0.15384615384615385;0.30000000000000004;0.5923076923076923;0.9538461538461539;2017;13
2017-04-09;2017-04-07T08:30:00+02:00;61116;7865;46580;1156;614;11433;-4;975;-7502;68619;11.184416208791232;67.15412087912088;64.12414148351648;5.0347596153846155;2.7755494505494505;0.06153846153846154;0.12307692307692308;0.2153846153846154;0.3538461538461538;2017;14
2017-04-16;2017-04-13T10:00:00+02:00;56822;7196;45284;620;2643;8716;-21;992;-8611;65430;12.398580827067692;69.31722093695778;75.25819657316369;5.2165377385772125;2.780913823019086;0.04615384615384616;0.09230769230769233;0.18461538461538465;0.3692307692307693;2017;15
2017-04-23;2017-04-20T09:00:00+02:00;64204;7457;45638;1361;1707;8861;-5;1099;-1917;66118;7.759100274725298;48.22616758241758;66.77455357142857;7.311146978021977;3.909203296703297;0.2;0.4692307692307693;1.5;3.676923076923077;2017;16
2017-04-30;2017-04-28T09:30:00+02:00;65455;7870;47225;971;2202;10615;-5;1065;-4489;69943;8.534243096646964;67.32326183431952;83.25364979571711;6.033154585798816;3.18673640462102;1.5;3.753846153846154;9.623076923076923;22.95384615384615;2017;17
2017-05-07;2017-05-03T12:00:00+02:00;60914;6814;44091;336;3464;9930;-8;1072;-4792;65699;11.098791208791233;78.76476648351648;88.73193681318682;4.478901098901099;2.3750755494505493;2.6846153846153844;5.630769230769231;14.430769230769231;46.08461538461539;2017;18
2017-05-14;2017-05-09T09:30:00+02:00;57978;5757;42818;1658;2617;11846;-7;932;-7645;65621;12.311016483516509;65.9584935897436;71.81236263736264;7.624072802197802;4.153477564102564;0.06153846153846154;0.24615384615384614;0.8153846153846155;3.123076923076923;2017;19
2017-05-21;2017-05-19T12:00:00+02:00;54687;3875;44850;2334;3633;9659;-44;931;-10553;65238;12.46048076923079;76.09574175824176;84.63461538461539;7.44106456043956;3.93926510989011;19.330769230769228;42.776923076923076;102.47692307692309;242.09230769230768;2017;20
2017-05-28;2017-05-24T13:00:00+02:00;53841;2849;40537;524;5009;8368;-21;976;-4394;58242;18.973075108853433;70.98566763425254;82.49294720609579;5.592444666182875;3.0246326197387523;0.1076923076923077;0.23076923076923078;1.146153846153846;4.4;2017;21
2017-06-04;2017-06-02T13:00:00+02:00;54626;4257;38672;259;4309;8300;-45;1104;-2230;56856;20.507425507185147;71.02554416737108;76.630560545224;4.78492445054945;2.31475151451113;3.7538461538461543;6.538461538461538;9.515384615384615;14.184615384615386;2017;22
2017-06-11;2017-06-09T13:00:00+02:00;53738;1875;41469;2979;3682;8638;-41;1019;-5879;59621;18.605779532967055;69.12970467032967;81.78427197802199;6.538997252747253;3.520528846153846;7.6;16.153846153846153;33.44615384615385;56.900000000000006;2017;23
2017-06-18;2017-06-15T13:00:00+02:00;56714;3169;38594;1267;4211;8178;-77;1031;338;56373;21.99923763736266;69.30425824175823;73.35765796703296;6.060858516483516;3.3104945054945056;3.5461538461538464;6.130769230769231;8.576923076923078;11.707692307692309;2017;24
2017-06-25;2017-06-22T13:00:00+02:00;59414;5623;38693;1878;4727;7580;-23;1038;-103;59516;24.58595467032969;64.80473901098901;73.93646978021978;5.976497252747253;3.233001373626374;0.02307692307692308;0.038461538461538464;0.8307692307692308;2.4923076923076923;2017;25
2017-07-02;2017-06-27T13:00:00+02:00;56073;6137;38149;516;3234;8162;-8;960;-1076;57150;21.085565868168246;75.29524820712786;86.13644120560994;5.505966605768094;2.811092879411738;21.615384615384617;36.08461538461539;53.2;73.61538461538461;2017;26
