Date;Code INSEE region;vitesse_vent;vent_min;vent_faible;vent_moyen;vent_fort;vent_max;year;week;mois
01/03/2015;52;4.375;1.638;2.782;3.927;6.445;8.963;2015;9;3
01/03/2015;53;6.80625;2.256;3.754;5.251;7.522;9.794;2015;9;3
01/03/2015;75;5.43;1.978;3.252;4.527;6.768;9.01;2015;9;3
01/03/2015;76;7.851785714;1.698;3.164;4.63;6.241;7.852;2015;9;3
01/03/2015;84;4.296875;1.461;2.749;4.036;5.888;7.741;2015;9;3
01/03/2015;93;8.775;2.575;4.165;5.754;7.551;9.348;2015;9;3
08/03/2015;11;0.95;0.95;2.672;4.395;6.41;8.425;2015;10;3
08/03/2015;24;1.68125;1.538;2.719;3.901;6.266;8.631;2015;10;3
08/03/2015;27;3.05;1.45;2.728;4.006;6.178;8.35;2015;10;3
08/03/2015;28;1.843478261;1.843;3.459;5.075;7.475;9.875;2015;10;3
08/03/2015;32;2.1125;2.044;3.442;4.841;7.183;9.525;2015;10;3
08/03/2015;44;1.11;1.11;2.54;3.971;6.392;8.813;2015;10;3
08/03/2015;52;1.6375;1.638;2.782;3.927;6.445;8.963;2015;10;3
08/03/2015;53;3.6625;2.256;3.754;5.251;7.522;9.794;2015;10;3
08/03/2015;75;2.6725;1.978;3.252;4.527;6.768;9.01;2015;10;3
08/03/2015;76;3.207142857;1.698;3.164;4.63;6.241;7.852;2015;10;3
08/03/2015;84;4.240625;1.461;2.749;4.036;5.888;7.741;2015;10;3
08/03/2015;93;3.0375;2.575;4.165;5.754;7.551;9.348;2015;10;3
15/03/2015;11;2.05;0.95;2.672;4.395;6.41;8.425;2015;11;3
15/03/2015;24;1.63125;1.538;2.719;3.901;6.266;8.631;2015;11;3
15/03/2015;27;2.7875;1.45;2.728;4.006;6.178;8.35;2015;11;3
15/03/2015;28;2.857142857;1.843;3.459;5.075;7.475;9.875;2015;11;3
15/03/2015;32;3.30625;2.044;3.442;4.841;7.183;9.525;2015;11;3
15/03/2015;44;1.77;1.11;2.54;3.971;6.392;8.813;2015;11;3
15/03/2015;52;2.2;1.638;2.782;3.927;6.445;8.963;2015;11;3
15/03/2015;53;3.153125;2.256;3.754;5.251;7.522;9.794;2015;11;3
15/03/2015;75;1.9775;1.978;3.252;4.527;6.768;9.01;2015;11;3
15/03/2015;76;1.698214286;1.698;3.164;4.63;6.241;7.852;2015;11;3
15/03/2015;84;2.234375;1.461;2.749;4.036;5.888;7.741;2015;11;3
15/03/2015;93;2.575;2.575;4.165;5.754;7.551;9.348;2015;11;3
22/03/2015;11;1.9875;0.95;2.672;4.395;6.41;8.425;2015;12;3
22/03/2015;24;1.925;1.538;2.719;3.901;6.266;8.631;2015;12;3
22/03/2015;27;1.9375;1.45;2.728;4.006;6.178;8.35;2015;12;3
22/03/2015;28;2.075;1.843;3.459;5.075;7.475;9.875;2015;12;3
22/03/2015;32;2.36875;2.044;3.442;4.841;7.183;9.525;2015;12;3
22/03/2015;44;1.4525;1.11;2.54;3.971;6.392;8.813;2015;12;3
22/03/2015;52;1.9125;1.638;2.782;3.927;6.445;8.963;2015;12;3
22/03/2015;53;2.25625;2.256;3.754;5.251;7.522;9.794;2015;12;3
22/03/2015;75;2.710526316;1.978;3.252;4.527;6.768;9.01;2015;12;3
22/03/2015;76;2.616071429;1.698;3.164;4.63;6.241;7.852;2015;12;3
22/03/2015;84;1.975;1.461;2.749;4.036;5.888;7.741;2015;12;3
22/03/2015;93;6.071875;2.575;4.165;5.754;7.551;9.348;2015;12;3
29/03/2015;11;3.925;0.95;2.672;4.395;6.41;8.425;2015;13;3
29/03/2015;24;3.31875;1.538;2.719;3.901;6.266;8.631;2015;13;3
29/03/2015;27;3.275;1.45;2.728;4.006;6.178;8.35;2015;13;3
29/03/2015;28;6.04;1.843;3.459;5.075;7.475;9.875;2015;13;3
29/03/2015;32;4.6375;2.044;3.442;4.841;7.183;9.525;2015;13;3
29/03/2015;44;3.94;1.11;2.54;3.971;6.392;8.813;2015;13;3
29/03/2015;52;3.4375;1.638;2.782;3.927;6.445;8.963;2015;13;3
29/03/2015;53;6.309375;2.256;3.754;5.251;7.522;9.794;2015;13;3
29/03/2015;75;4.35;1.978;3.252;4.527;6.768;9.01;2015;13;3
